company_name,ticker,sector
Siemens,SIEMENS.NS,Industrial
ABB India,ABB.NS,Industrial
ABB,ABB.NS,Industrial
Tata Power,TATAPOWER.NS,Power
IRCTC,IRCTC.NS,Travel
Indian Railway Catering,IRCTC.NS,Travel
InterGlobe Aviation,INDIGO.NS,Aviation
IndiGo,INDIGO.NS,Aviation
Dmart,DMART.NS,Retail
Avenue Supermarts,DMART.NS,Retail
Zomato,ZOMATO.NS,Consumer Tech
Paytm,PAYTM.NS,Fintech
Info Edge,NAUKRI.NS,Internet
Naukri,NAUKRI.NS,Internet
FSN Ecommerce,NYKAA.NS,Beauty
Nykaa,NYKAA.NS,Beauty
Policybazaar,POLICYBZR.NS,Insurance
PB Fintech,POLICYBZR.NS,Insurance
Bikaji Foods,BIKAJI.NS,FMCG
Dixon Technologies,DIXON.NS,Electronics
Amber Enterprises,AMBER.NS,Electronics
Bharat Forge,BHARATFORG.NS,Auto Ancillary
Motherson Sumi,MOTHERSUMI.NS,Auto Ancillary
Exide Industries,EXIDEIND.NS,Auto Ancillary
Exide,EXIDEIND.NS,Auto Ancillary
Cummins India,CUMMINSIND.NS,Industrial
Voltas,VOLTAS.NS,Consumer Durables
Whirlpool India,WHIRLPOOL.NS,Consumer Durables
Page Industries,PAGEIND.NS,Apparel
Jockey,PAGEIND.NS,Apparel
Colgate Palmolive India,COLPAL.NS,FMCG
Colgate,COLPAL.NS,FMCG
Dabur,DABUR.NS,FMCG
Emami,EMAMILTD.NS,FMCG
United Breweries,UBL.NS,FMCG
Kingfisher,UBL.NS,FMCG
United Spirits,MCDOWELL-N.NS,FMCG
McDowell,MCDOWELL-N.NS,FMCG
Aurobindo Pharma,AUROPHARMA.NS,Pharma
Ipca Laboratories,IPCALAB.NS,Pharma
Ipca,IPCALAB.NS,Pharma
Alkem Laboratories,ALKEM.NS,Pharma
Alkem,ALKEM.NS,Pharma
Biocon,BIOCON.NS,Pharma
Syngene International,SYNGENE.NS,Pharma
Syngene,SYNGENE.NS,Pharma
SRF Limited,SRF.NS,Chemicals
SRF,SRF.NS,Chemicals
Navin Fluorine,NAVINFLUOR.NS,Chemicals
PI Industries,PIIND.NS,Chemicals
Aarti Industries,AARTIIND.NS,Chemicals
Deepak Nitrite,DEEPAKNTR.NS,Chemicals
Tata Chemicals,TATACHEM.NS,Chemicals
NIFTY 50,^NSEI,Index
Sensex,^BSESN,Index
NIFTY Bank,^NSEBANK,Index
Bank Nifty,^NSEBANK,Index
NIFTY IT,NIFTYIT.NS,Index
